                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.85449,                 0.6866,                 1.2537,                0.79837,                0.70324,                0.76607,                0.52111,                 1.1614,                 1.0637,                 1.7031,             0.00028469,             0.00028469,             0.00028469
                     58,                0.84507,                0.67797,                 1.2404,                0.71238,                0.77418,                0.76592,                0.53373,                 1.1576,                 1.0256,                 1.6928,              0.0002785,              0.0002785,              0.0002785
                     59,                0.85793,                  0.689,                 1.2453,                0.74934,                0.70326,                 0.7379,                0.51458,                 1.1763,                 1.1015,                 1.6977,             0.00027231,             0.00027231,             0.00027231
                     60,                0.84382,                0.67615,                 1.2474,                0.74705,                0.72911,                0.75373,                0.51289,                 1.1624,                  1.038,                 1.6969,             0.00026613,             0.00026613,             0.00026613
                     61,                0.84783,                0.67427,                 1.2455,                0.74497,                0.72091,                0.74715,                0.51655,                 1.1916,                 1.1317,                 1.7356,             0.00025994,             0.00025994,             0.00025994
                     62,                0.83297,                0.65829,                 1.2361,                 0.8114,                0.71321,                0.77067,                0.52917,                 1.1918,                 1.0318,                 1.7323,             0.00025375,             0.00025375,             0.00025375
                     63,                0.83985,                0.68436,                 1.2424,                0.75161,                0.73967,                0.76418,                0.53131,                 1.1582,                 1.0255,                 1.6652,             0.00024756,             0.00024756,             0.00024756
                     64,                0.81696,                 0.6316,                  1.224,                0.76155,                0.75265,                0.78725,                0.53525,                 1.1659,                 1.0009,                 1.6869,             0.00024137,             0.00024137,             0.00024137
                     65,                0.82803,                0.64595,                 1.2323,                  0.725,                0.73991,                0.76021,                0.52144,                 1.1701,                 1.0335,                 1.6972,             0.00023519,             0.00023519,             0.00023519
                     66,                0.81122,                0.64258,                 1.2297,                 0.7398,                0.76588,                0.76969,                0.53495,                  1.143,                 1.0326,                 1.6677,               0.000229,               0.000229,               0.000229
                     67,                0.80269,                0.63074,                 1.2195,                0.74819,                0.74756,                0.76272,                0.52528,                 1.1513,                 1.0686,                 1.6814,             0.00022281,             0.00022281,             0.00022281
                     68,                0.80156,                0.63516,                  1.223,                0.78216,                0.73825,                0.75544,                 0.5233,                 1.1769,                 1.0497,                  1.716,             0.00021662,             0.00021662,             0.00021662
                     69,                0.80659,                0.61873,                 1.2258,                0.76908,                0.75411,                0.77251,                0.53941,                 1.1576,                0.98697,                  1.727,             0.00021044,             0.00021044,             0.00021044
                     70,                  0.803,                0.63467,                  1.233,                0.73407,                0.72827,                0.74302,                0.51539,                 1.1714,                 1.1108,                 1.6977,             0.00020425,             0.00020425,             0.00020425
                     71,                0.78267,                0.60652,                 1.2058,                0.81926,                0.67811,                0.77439,                0.54403,                 1.1705,                0.99345,                 1.7131,             0.00019806,             0.00019806,             0.00019806
                     72,                0.78559,                0.59879,                 1.2067,                0.77833,                0.72436,                0.76921,                0.52314,                 1.1996,                 1.0065,                 1.7283,             0.00019188,             0.00019188,             0.00019188
                     73,                0.78489,                0.61361,                 1.2027,                0.72747,                0.76533,                0.77288,                0.53878,                 1.1776,                 1.0709,                 1.7339,             0.00018569,             0.00018569,             0.00018569
                     74,                0.78372,                0.60824,                 1.2046,                0.74069,                 0.7327,                0.75868,                0.51939,                 1.1828,                 1.0767,                 1.7268,              0.0001795,              0.0001795,              0.0001795
                     75,                0.77385,                0.58917,                 1.1993,                 0.7364,                0.75279,                 0.7718,                0.53443,                 1.1867,                 1.0727,                 1.7222,             0.00017331,             0.00017331,             0.00017331
                     76,                0.78081,                0.61629,                  1.205,                0.81308,                0.71079,                0.77982,                0.53894,                 1.1746,                 1.0624,                 1.7147,             0.00016713,             0.00016713,             0.00016713
                     77,                0.76758,                0.58675,                 1.1987,                0.74086,                 0.7824,                0.78243,                0.54486,                  1.187,                 1.0578,                 1.7411,             0.00016094,             0.00016094,             0.00016094
                     78,                0.75835,                0.58532,                 1.1919,                0.82465,                0.69927,                0.77296,                0.53424,                 1.1532,                 1.0463,                 1.6799,             0.00015475,             0.00015475,             0.00015475
                     79,                0.74877,                0.58316,                 1.1808,                0.75782,                0.74357,                0.75527,                0.51885,                 1.1775,                 1.0801,                 1.7443,             0.00014856,             0.00014856,             0.00014856
                     80,                0.74913,                0.57311,                 1.1781,                  0.763,                0.73379,                0.77005,                0.53321,                 1.1696,                 1.0257,                 1.7426,             0.00014237,             0.00014237,             0.00014237
                     81,                0.73529,                0.57696,                 1.1775,                 0.7773,                0.70167,                0.76265,                0.52013,                 1.1719,                  1.034,                 1.7184,             0.00013619,             0.00013619,             0.00013619
